backend,batch_size,input_lbas,slm_read_chunk_bytes,slm_read_queue_depth,iteration,output_layout,physical_output_bytes_per_u8,slm_create_ms,ssd_to_slm_ms,program_setup_ms,fpga_execute_ms,slm_to_host_ms,host_verify_ms,dump_write_ms,cleanup_ms,transport_ready_ms,data_path_ms,one_shot_transport_ready_ms,one_shot_pipeline_ms,process_ms,per_u8_kernel_us,per_u8_data_path_us,kernel_plaintext_bytes_per_s,data_path_plaintext_bytes_per_s
fpga,32,1,131072,1,11,hpu-native-psi64-v80,98304,16.968000,20.956000,60.938000,13.740000,1343.488000,6.789000,0.000000,49.412000,1378.184000,1384.973000,1456.117000,1462.920000,1516.593000,429.375000,43280.406250,2328.967,23.105
fpga,32,1,131072,1,12,hpu-native-psi64-v80,98304,14.110000,16.071000,62.556000,12.965000,1180.989000,10.991000,0.001000,48.173000,1210.025000,1221.016000,1286.716000,1297.722000,1350.480000,405.156250,38156.750000,2468.184,26.208
fpga,32,1,131072,1,13,hpu-native-psi64-v80,98304,13.933000,16.025000,64.018000,12.496000,935.546000,9.393000,0.000000,51.003000,964.067000,973.460000,1042.040000,1051.453000,1112.492000,390.500000,30420.625000,2560.819,32.872
fpga,32,1,131072,1,14,hpu-native-psi64-v80,98304,14.672000,16.329000,68.080000,14.669000,1223.924000,9.684000,0.000000,44.685000,1254.922000,1264.606000,1337.706000,1347.413000,1397.829000,458.406250,39518.937500,2181.471,25.304
fpga,32,1,131072,1,15,hpu-native-psi64-v80,98304,13.657000,18.488000,64.140000,13.735000,5365.945000,9.406000,0.000000,48.728000,5398.168000,5407.574000,5475.988000,5485.418000,5538.702000,429.218750,168986.687500,2329.814,5.918
fpga,32,1,131072,1,16,hpu-native-psi64-v80,98304,14.994000,21.984000,67.368000,13.021000,1174.698000,12.511000,0.000000,60.453000,1209.703000,1222.214000,1292.097000,1304.629000,1369.632000,406.906250,38194.187500,2457.569,26.182
fpga,32,1,131072,1,17,hpu-native-psi64-v80,98304,16.624000,15.341000,67.530000,12.650000,1111.421000,10.979000,0.000000,56.733000,1139.412000,1150.391000,1223.601000,1234.604000,1295.908000,395.312500,35949.718750,2529.644,27.817
fpga,32,1,131072,1,18,hpu-native-psi64-v80,98304,13.593000,18.119000,64.789000,12.329000,1122.790000,8.400000,0.000000,45.621000,1153.238000,1161.638000,1231.647000,1240.059000,1291.200000,385.281250,36301.187500,2595.507,27.547
fpga,32,1,131072,1,19,hpu-native-psi64-v80,98304,15.088000,16.391000,59.014000,13.232000,1206.702000,10.613000,0.000000,61.168000,1236.325000,1246.938000,1310.450000,1321.084000,1386.664000,413.500000,38966.812500,2418.380,25.663
fpga,32,1,131072,1,20,hpu-native-psi64-v80,98304,15.210000,19.474000,66.907000,12.090000,1434.878000,8.972000,0.000000,46.975000,1466.442000,1475.414000,1548.593000,1557.585000,1609.011000,377.812500,46106.687500,2646.816,21.689
fpga,32,1,131072,1,21,hpu-native-psi64-v80,98304,18.083000,20.486000,64.623000,13.791000,1662.153000,9.354000,0.000000,43.601000,1696.430000,1705.784000,1779.181000,1788.553000,1836.987000,430.968750,53305.750000,2320.354,18.760
fpga,32,1,131072,1,22,hpu-native-psi64-v80,98304,16.681000,18.410000,71.775000,14.653000,1289.476000,8.750000,0.000000,47.369000,1322.539000,1331.289000,1411.032000,1419.798000,1471.538000,457.906250,41602.781250,2183.853,24.037
fpga,32,1,131072,1,23,hpu-native-psi64-v80,98304,22.093000,17.943000,65.723000,14.043000,1280.963000,9.195000,0.000000,62.268000,1312.949000,1322.144000,1400.804000,1410.020000,1478.363000,438.843750,41317.000000,2278.715,24.203
fpga,32,1,131072,1,24,hpu-native-psi64-v80,98304,17.345000,15.364000,67.946000,12.489000,1169.863000,12.500000,0.000000,45.006000,1197.716000,1210.216000,1283.044000,1295.557000,1345.123000,390.281250,37819.250000,2562.255,26.442
fpga,32,1,131072,1,25,hpu-native-psi64-v80,98304,14.899000,15.169000,66.567000,11.924000,1090.974000,12.223000,0.000000,47.012000,1118.067000,1130.290000,1199.559000,1211.841000,1267.527000,372.625000,35321.562500,2683.663,28.311
fpga,32,1,131072,1,26,hpu-native-psi64-v80,98304,13.533000,17.623000,63.073000,12.565000,1129.382000,11.472000,0.000000,44.866000,1159.570000,1171.042000,1236.199000,1247.691000,1297.024000,392.656250,36595.062500,2546.757,27.326
fpga,32,1,131072,1,27,hpu-native-psi64-v80,98304,16.137000,15.759000,56.879000,13.719000,1195.961000,11.201000,0.000000,47.959000,1225.439000,1236.640000,1298.478000,1309.693000,1361.663000,428.718750,38645.000000,2332.532,25.877
fpga,32,1,131072,1,28,hpu-native-psi64-v80,98304,13.625000,13.527000,69.096000,11.496000,968.093000,9.741000,0.000000,41.450000,993.116000,1002.857000,1075.870000,1085.633000,1131.153000,359.250000,31339.281250,2783.577,31.909
