backend,mode,batch_size,iteration,output_layout,physical_output_bytes_per_u8,encrypt_ms,native_pack_ms,encrypt_and_pack_ms,per_u8_encrypt_us,per_u8_encrypt_and_pack_us,plaintext_bytes_per_s,native_ciphertext_bytes_per_s
cpu,serial,16,23,hpu-native-psi64-v80,98304,7.380517000,0.520844000,7.901498000,461.282312,493.843625,2024.932,199058963.250
cpu,serial,16,24,hpu-native-psi64-v80,98304,7.388033000,0.520759000,7.908922000,461.752062,494.307625,2023.032,198872109.246
cpu,serial,16,25,hpu-native-psi64-v80,98304,7.388577000,0.520653000,7.909356000,461.786063,494.334750,2022.921,198861196.790
cpu,serial,16,26,hpu-native-psi64-v80,98304,7.389824000,0.524745000,7.914716000,461.864000,494.669750,2021.551,198726524.110
cpu,serial,16,27,hpu-native-psi64-v80,98304,7.383828000,0.521062000,7.905020000,461.489250,494.063750,2024.030,198970274.585
cpu,serial,16,28,hpu-native-psi64-v80,98304,7.388048000,0.520979000,7.909147000,461.753000,494.321687,2022.974,198866451.717
cpu,serial,16,29,hpu-native-psi64-v80,98304,7.387682000,0.520958000,7.908777000,461.730125,494.298563,2023.069,198875755.379
cpu,serial,32,0,hpu-native-psi64-v80,98304,14.778634000,1.049147000,15.827949000,461.832313,494.623406,2021.740,198745143.796
cpu,serial,32,1,hpu-native-psi64-v80,98304,14.776693000,1.047555000,15.824388000,461.771656,494.512125,2022.195,198789867.893
cpu,serial,32,2,hpu-native-psi64-v80,98304,14.775940000,1.051204000,15.827281000,461.748125,494.602531,2021.825,198753531.955
cpu,serial,32,3,hpu-native-psi64-v80,98304,14.777578000,1.047097000,15.824806000,461.799312,494.525188,2022.142,198784617.012
cpu,serial,32,4,hpu-native-psi64-v80,98304,14.774918000,1.050831000,15.825886000,461.716187,494.558938,2022.004,198771051.428
cpu,serial,32,5,hpu-native-psi64-v80,98304,14.777573000,1.046760000,15.824464000,461.799156,494.514500,2022.185,198788913.166
cpu,serial,32,6,hpu-native-psi64-v80,98304,14.772845000,1.049750000,15.822775000,461.651406,494.461719,2022.401,198810132.862
cpu,serial,32,7,hpu-native-psi64-v80,98304,14.772781000,1.042833000,15.815733000,461.649406,494.241656,2023.302,198898653.638
cpu,serial,32,8,hpu-native-psi64-v80,98304,14.777864000,1.043255000,15.821253000,461.808250,494.414156,2022.596,198829258.340
