backend,mode,batch_size,iteration,elapsed_ms,per_u8_us,plaintext_bytes_per_s,logical_ciphertext_bytes_per_s
cpu,serial,16,0,7.508367000,469.272938,2130.956,139722525.550
cpu,serial,16,1,7.615646000,475.977875,2100.938,137754302.130
cpu,serial,16,2,7.512773000,469.548313,2129.706,139640582.778
cpu,serial,16,3,7.620520000,476.282500,2099.594,137666196.008
cpu,serial,16,4,7.498657000,468.666062,2133.715,139903452.045
cpu,serial,16,5,7.622288000,476.393000,2099.107,137634264.147
cpu,serial,16,6,7.506146000,469.134125,2131.587,139763868.169
cpu,serial,16,7,7.606354000,475.397125,2103.505,137922584.197
cpu,serial,16,8,7.504145000,469.009063,2132.155,139801136.572
cpu,serial,16,9,7.607783000,475.486437,2103.109,137896677.652
cpu,serial,16,10,7.499114000,468.694625,2133.585,139894926.254
cpu,serial,16,11,7.609064000,475.566500,2102.755,137873462.492
cpu,serial,16,12,7.500621000,468.788813,2133.157,139866819.027
cpu,serial,16,13,7.605379000,475.336187,2103.774,137940265.699
cpu,serial,16,14,7.496484000,468.530250,2134.334,139944005.750
cpu,serial,16,15,7.606118000,475.382375,2103.570,137926863.612
cpu,serial,16,16,7.494185000,468.386563,2134.989,139986936.538
cpu,serial,16,17,7.609969000,475.623063,2102.505,137857066.172
cpu,serial,16,18,7.501676000,468.854750,2132.857,139847148.824
cpu,serial,16,19,7.599415000,474.963437,2105.425,138048520.840
cpu,serial,16,20,7.500958000,468.809875,2133.061,139860535.148
cpu,serial,16,21,7.608942000,475.558875,2102.789,137875673.122
cpu,serial,16,22,7.499109000,468.694313,2133.587,139895019.528
cpu,serial,16,23,7.611612000,475.725750,2102.051,137827309.117
cpu,serial,16,24,7.493531000,468.345687,2135.175,139999153.937
cpu,serial,16,25,7.612180000,475.761250,2101.895,137817024.821
cpu,serial,16,26,7.521015000,470.063438,2127.372,139487555.868
cpu,serial,16,27,7.617532000,476.095750,2100.418,137720195.990
cpu,serial,16,28,7.497135000,468.570938,2134.149,139931853.968
cpu,serial,16,29,7.608907000,475.556687,2102.799,137876307.333
cpu,serial,32,0,15.018657000,469.333031,2130.683,139704635.375
cpu,serial,32,1,15.013097000,469.159281,2131.472,139756374.051
cpu,serial,32,2,15.011498000,469.109312,2131.699,139771260.670
cpu,serial,32,3,15.005945000,468.935781,2132.488,139822983.491
cpu,serial,32,4,15.009444000,469.045125,2131.991,139790387.972
cpu,serial,32,5,15.004264000,468.883250,2132.727,139838648.534
cpu,serial,32,6,15.004269000,468.883406,2132.726,139838601.934
cpu,serial,32,7,15.009008000,469.031500,2132.053,139794448.774
cpu,serial,32,8,15.009143000,469.035719,2132.034,139793191.390
cpu,serial,32,9,15.017897000,469.309281,2130.791,139711705.307
cpu,serial,32,10,15.011003000,469.093844,2131.770,139775869.740
cpu,serial,32,11,15.007651000,468.989094,2132.246,139807089.064
cpu,serial,32,12,15.024965000,469.530156,2129.789,139645982.536
cpu,serial,32,13,15.026350000,469.573438,2129.592,139633111.168
cpu,serial,32,14,15.020570000,469.392813,2130.412,139686842.776
cpu,serial,32,15,15.017406000,469.293938,2130.861,139716273.237
cpu,serial,32,16,15.016809000,469.275281,2130.945,139721827.720
cpu,serial,32,17,15.007723000,468.991344,2132.236,139806418.335
cpu,serial,32,18,15.012707000,469.147094,2131.528,139760004.641
cpu,serial,32,19,15.028217000,469.631781,2129.328,139615764.132
cpu,serial,32,20,15.005479000,468.921219,2132.554,139827325.739
cpu,serial,32,21,15.015065000,469.220781,2131.193,139738056.412
cpu,serial,32,22,15.016523000,469.266344,2130.986,139724488.818
cpu,serial,32,23,15.015414000,469.231688,2131.143,139734808.511
cpu,serial,32,24,15.012904000,469.153250,2131.500,139758170.704
cpu,serial,32,25,15.009280000,469.040000,2132.014,139791915.402
cpu,serial,32,26,15.001617000,468.800531,2133.103,139863322.734
cpu,serial,32,27,15.013936000,469.185500,2131.353,139748564.267
cpu,serial,32,28,15.011810000,469.119063,2131.655,139768355.715
cpu,serial,32,29,15.006234000,468.944813,2132.447,139820290.687
cpu,serial,64,0,30.401037000,475.016203,2105.191,138033186.171
cpu,serial,64,1,30.438559000,475.602484,2102.596,137863030.901
cpu,serial,64,2,30.488130000,476.377031,2099.178,137638877.819
cpu,serial,64,3,30.485653000,476.338328,2099.348,137650061.162
